Company Name,Customer ID,Extension,Phone Number,Phone Type
"Brenelm Farms Ltd","2008255","","519-276-0947 Jim's cell","Mill"
"Brenelm Farms Ltd","2008255","","519-462-2513","Office"
"Brenneman Pork ","1989036","","319-656-3934","Mill"
"Brenneman Pork ","1989036","","319-656-3924","Office"
"Brenneman Pork ","1989036","","319-656-3938","Fax"
"Brew Theory","2026820","","407-310-7423","Office"
"Brey's Egg Farm","1989037","","845-482-3811","Mill"
"Brey's Egg Farm","1989037","","845-482-5464","Office"
"Brightstone Colony","1989038","152","204-345-2596","Office"
"Brightstone Colony","1989038","","204-345-6059","Fax"
"Brinkman Pork Farm","2005472","","618-478-5527","Office"
"Brinkman Pork Farm","2005472","","618-478-5532","Fax"
"Broad Valley Colony","1989044","","204-280-0740","Mill"
"Broad Valley Colony","1989044","","204-372-6941","Office"
"Broad Valley Colony","1989044","","204-372-6992","Office"
"Brock Stock Farm LTD","1989045","","306-379-2177","Mill"
"Brock Stock Farm LTD","1989045","","306-934-2727","Office"
"Broekfarms Inc.","2374944","","519-670-3144","Office"
"Brookfield Pork","1989166","","320-298-2462","Mill"
"Brookfield Pork","1989166","","320-978-6465","Office"
"Brookfield Pork","1989166","","320-207-2814","Office"
"BSC Animal Nutrition","1989046","","519-349-2191","Fax"
"BSC Animal Nutrition","1989046","","519-349-2190","Office"
"Buchheit Feed Mill","1989062","","800-622-7937","Office"
"Buchheit Feed Mill","1989062","","573-547-7724","Mill"
"Buchheit Feed Mill","1989062","","573-547-4569","Mill"
"Buchheit Feed Mill","1989062","","573-547-1198","Fax"
"Buhls-Ridge View Farm Inc.","1989063","","507-247-3838","Office"
"Buhls-Ridge View Farm Inc.","1989063","","507-247-3836","Mill"
"Burkey Farms - MILL CLOSED","1989064","110","402-761-3599","Office"
"Burkey Farms - MILL CLOSED","1989064","206","402-761-3599","Mill"
"Burkey Farms - MILL CLOSED","1989064","","402-764-2013","Fax"
"Burkey Farms - MILL CLOSED","1989064","","402-761-2732","Office"
"Bush Farms Inc. ","1989065","","270-842-9658","Office"
"C And R Pork Farms Inc. ","1989066","","319-631-5599","Mill"
"C And R Pork Farms Inc. ","1989066","","319-338-9054","Office"
"Cabka","2892139","","636-485-1837","Office"
"Cadelga Guatemala","2572446","","+502 3064-2536","Office"
"Cal Maine Foods Bethune","2379330","Cale ","803-729-7056","Mobile"
"Cal Maine Foods Boling  ","2957454","","979-657-2172","Mill"
"Cal Maine Foods Bremen","2522433","","270-525-6028","Office"
"Cal Maine Foods Bushnell","2522422","","352-303-3927","Office"
"Cal Maine Foods Chase","2890282","","620-938-2300","Office"
"Cal Maine Foods Chillicothe","2747592","","940-887-3267","Mill"
"Cal Maine Foods Clarksville","2522428","","931-485-2087","Office"
"Cal Maine Foods Corporate","2252338","","601-948-6813","Office"
"Cal Maine Foods Delta","2252442","","888-427-1699","Office"
"Cal Maine Foods Delta","2252442","","435-857-9155","Office"
"Cal Maine Foods Edwards","2645748","","601-852-4413","Office"
"Cal Maine Foods Farwell","2841059","","806-825-2240","Office"
"Cal Maine Foods Flatonia","2793213","","979-453-1379","Office"
"Cal Maine Foods Green Forest","2354895","","888-822-2770","Mill"
"Cal Maine Foods Green Forest","2354895","","870-437-2900","Office"
"Cal Maine Foods Newberry ","2968400","","803-276-5803","Office"
"Cal Maine Foods Red River ","2839551","","903-741-4250","Office"
"Cal Maine Foods Searcy","2252339","","501-268-5321","Mill"
"Cal Maine Foods Statesville","2975459","","704-873-8646","Office"
"Cal Maine Foods Union City","2354896","","937-968-6085","Office"
"Caledonia Farmers Elevator","1989070","","616-891-4130","Office"
"Caledonia Farmers Elevator","1989070","Dwayne-Of","616-891-4126","Office"
"Caledonia Farmers Elevator","1989070","Dwayne","616-318-2071","Mobile"
"Camrose Colony Montana","1989073","","406-627-2490","Office"
"Camrose Colony Montana","1989073","603","406-627-2496","Mill"
"Camrose Colony Montana","1989073","","406-627-2141","Fax"
"Camrose Colony South Dakota","2883254","","605-450-0039","Office"
"Canby Farmers Grain Company Canby","1989074","","507-223-7236","Office"
"Canby Farmers Grain Company Canby","1989074","","507-223-7237","Office"
"Canby Farmers Grain Company Canby","1989074","","507-223-7189","Fax"
"Canby Farmers Grain Company Dawson","2973491","","320-769-2638","Office"
"Canmark Farms Inc. ***Broekfarms bought this mill***","1989075","","519-666-2470","Fax"
"Canmark Farms Inc. ***Broekfarms bought this mill***","1989075","","519-666-2365","Office"
"Carroll Brewing Company","1989079","","515-709-0030","Office"
"Carroll Farms","1989078","","217-845-4161","Office"
"Carroll Farms","1989078","","217-845-3841","Mill"
"Carstens Livestock Feed Mill Bagley","1989080","","641-427-5701","Office"
"Carstens Livestock Feed Mill Bagley","1989080","","641-427-5256","Fax"
"Carstens Livestock Feed Mill Bagley","1989080","","641-757-1944","Mill"
"Carstens Livestock Feed Mill Linden","1989081","","641-757-1944","Mill"
"Carstens Livestock Feed Mill Linden","1989081","","641-744-2051","Office"
"Cascade Colony","2328062","Paul","406-265-5863","Office"
"Cascade Colony","2328062","113 Chris","406-264-5316","Office"
"Case Farms","2834559","","704-838-6634","Office"
"Casella Waste Systems","2379830","","602-682-2285","Office"
"Cashton Farm Supply Specialties New Mill (CFS)","1989068","","800-822-6671","Office"
"Cashton Farm Supply Specialties New Mill (CFS)","1989068","","608-654-5123","Mill"
"Cashton Farm Supply Specialties New Mill (CFS)","1989068","","608-654-5696","Fax"
"Cashton Farm Supply Specialties Old Mill (CFS)","1989069","","608-632-0947","Mill"
"Cashton Farm Supply Specialties Old Mill (CFS)","1989069","","800-822-6671","Office"
"Cashton Farm Supply Specialties Old Mill (CFS)","1989069","","608-654-5696","Fax"
"Castle Island Brewing Company","1989082","","781-953-2611","Office"
"CBL Farms","1989083","","319-521-7180","Office"
"CBL Farms","1989083","","319-981-1592","Mill"
"Cedar County Coop Tipton","2249730","","563-886-8222","Mill"
"Cedar County Coop Tipton","2249730","","563-886-6177","Office"
"Cedar County Coop Tipton","2249730","","563-886-2745","Office"
"Cedar County Coop West Branch","2187369","","319-643-7101","Office"
"Cedar Lane Ag LLC","2476783","","315-497-9657","Office"
"Cedar Ridge Farms","1989084","","618-473-2325","Office"
"Cenex Harvest States Corsica (CHS)","1989262","","605-946-5151","Fax"
"Cenex Harvest States Corsica (CHS)","1989262","","800-333-3565","Office"
"Cenex Harvest States Corsica (CHS)","1989262","","605-990-7070","Office"
"Cenex Harvest States Corson (CHS)","1989142","","605-582-7551","Office"
"Cenex Harvest States Corson (CHS)","1989142","","605-582-3134","Fax"
"Cenex Harvest States Dickinson (CHS)","1989148","","701-483-1277","Office"
"Cenex Harvest States Dickinson (CHS)","1989148","","800-447-9061","Mill"
"Cenex Harvest States Dickinson (CHS)","1989148","","701-483-0135","Fax"
"Cenex Harvest States Edgeley (CHS)","2277673","","701-493-2271","Office"
"Cenex Harvest States Gettysburg (CHS)","2277676","","605-765-2401","Office"
"Cenex Harvest States Great Falls (CHS)","1989143","","406-453-7646","Office"
"Cenex Harvest States Great Falls (CHS)","1989143","","800-823-2322","Mill"
"Cenex Harvest States Great Falls (CHS)","1989143","","406-452-8848","Fax"
"Cenex Harvest States Harrisburg (CHS)","2277674","","541-995-6384","Office"
"Cenex Harvest States Harrisburg (CHS)","2277674","","541-995-3510","Mill"
"Cenex Harvest States Hermiston (CHS)","2004216","","541-564-0355","Office"
"Cenex Harvest States Hermiston (CHS)","2004216","","541-564-0354","Fax"
"Cenex Harvest States Luverne (CHS)","1989147","","507-283-4157","Fax"
"Cenex Harvest States Luverne (CHS)","1989147","","507-449-2002","Mill"
"Cenex Harvest States Luverne (CHS)","1989147","","507-283-4418","Office"
"Cenex Harvest States Marshall Dairy (CHS) - Midwest Ag","2609647",""," 507-532-2279","Office"
"Cenex Harvest States Marshall Liquid (CHS) - Midwest Ag","2800763","","507-532-2279","Office"
"Cenex Harvest States Progressive Nutrition Norfolk (CHS)","1989542","","402-371-2040","Mill"
"Cenex Harvest States Progressive Nutrition Norfolk (CHS)","1989542","","402-371-2040","Mill"
"Cenex Harvest States Shenandoah (CHS)","1989145","","712-246-1540","Office"
"Cenex Harvest States Tillamook (CHS)","2153957","","503-842-4111","Office"
"Cenex Harvest States Tracy (CHS)","1989146","","507-629-3780","Office"
"Cenex Harvest States Winner (CHS)","1989167","","605-842-2711","Office"
"Cenex Harvest States Winner (CHS)","1989167","","605-842-2771","Mill"
"Cenex Harvest States Winner (CHS)","1989167","","605-843-2715","Fax"
"Centra Sota Cooperative","1989085","","320-845-4087","Fax"
"Centra Sota Cooperative","1989085","14","320-845-4086","Office"
"Central Farm Service Freeborn (CFS)","2010339","","800-658-2483","Mill"
"Central Farm Service Freeborn (CFS)","2010339","","507-863-2377","Fax"
"Central Farm Service Freeborn (CFS)","2010339","","507-863-2191","Office"
"Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","","507-455-1431","Fax"
"Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","","507-446-5048","Mill"
"Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","","800-722-2319","Office"
"Central Farm Service St James","2010341","","507-375-3355","Office"
"Central Farm Service St James","2010341","","507-375-3343","Fax"
"Central Farm Service Truman (CFS)","1989087","","507-776-1244","Mill"
"Central Farm Service Truman (CFS)","1989087","","507-776-2831","Office"
"Central Farm Service Truman (CFS)","1989087","","507-776-2871","Fax"
"Central Farmers Cooperative Montrose","1989088","","605-363-5360","Office"
"Central Farmers Cooperative Montrose","1989088","","605-348-3943","Fax"
"Central Region Coop / BCA Products","2754271","","507-774-9625","Office"
"Central Region Cooperative Cobden","1989090","","507-794-3031","Office"
"Central Region Cooperative Cobden","1989090","","507-794-3031","Mill"
"Central Region Cooperative Corporate","2005398","","507-794-5272","Fax"
"Central Region Cooperative Corporate","2005398","","507-794-3001","Mill"
"Central Region Cooperative Corporate","2005398","","507-794-3031","Office"
"Central Region Cooperative Fairfax","2154757","","507-426-8263","Office"
"Central Region Cooperative Gibbon","1989089","","507-834-6534","Office"
"Central Region Cooperative Sleepy Eye Feed Mill - West","2502687","","507-794-3001","Office"
"Central Valley Ag Ainsworth (CVA)","1989260","","402-387-2811","Office"
"Central Valley Ag Ainsworth (CVA)","1989260","","402-382-3210","Fax"
"Central Valley Ag Ainsworth (CVA)","1989260","","402-387-2810","Mill"
"Central Valley Ag Daykin Milling LLC","2005017","","785-313-3020","Mill"
"Central Valley Ag Duncan (CVA)","1989092","","402-897-3315","Office"
"Central Valley Ag Elgin (CVA)","1989093","","402-843-2416","Mill"
"Central Valley Ag Elgin (CVA)","1989093","","402-843-2186","Fax"
"Central Valley Ag Elgin (CVA)","1989093","","402-843-2224","Office"
"Central Valley Ag Fullerton","2618019","","308-536-2424","Office"
"Central Valley Ag Fullerton","2618019","","308-536-2178","Fax"
"Central Valley Ag Humphrey (CVA)","1989095","","402-923-1039","Fax"
"Central Valley Ag Humphrey (CVA)","1989095","","402-923-1383","Office"
"Central Valley Ag Scribner (CVA)","1989096","","402-664-3656","Fax"
"Central Valley Ag Scribner (CVA)","1989096","","402-664-2256","Office"
"Central Valley Ag Utica (CVA)","1989099","","402-534-2008","Office"
"Central Valley Ag Utica (CVA)","1989099","","402-534-3478","Fax"
"Central Valley Ag Wakefield (CVA)","1989100","","402-287-2565","Office"
"Central Valley Ag Wakefield (CVA)","1989100","","402-287-2007","Fax"
"Central Valley Eggs Corcoran ","2878590","","559-992-8421","Office"
"Cenzone Tech, Inc.","1989108","","760-736-9901","Office"
"Chandler Feed  Company Hardwick","2123386","","507-669-2115","Office"
"Chandler Feed Company Chandler","1989116","","507-677-2237","Office"
"Chandler Feed Company Edgerton","2104887","","507-442-6321","Office"
"Chandler Feed Company Leota","2042002","","507-443-5381","Office"
"Chandler Feed Company Woodstock","2104888","","507-777-4131","Office"
"Chaseburg Farmers Coop","2641161","","608-483-2194","Office"
"Checkerspot Brewing","2916783","","410-519-5527","Office"
"Cheyenne Ranch (AMVC)","1989117","","605-544-3307","Mill"
"Cheyenne Ranch (AMVC)","1989117","","712-563-2683","Office"
"Chinn Feed","1989118","","660-699-3865","Mill"
"Chinn Feed","1989118","","660-699-1254","Fax"
"Chinn Feed","1989118","","660-699-3752","Office"
"Chinook Feeders","2010344","","403-652-9541 Karen cell","Mill"
"Chinook Feeders","2010344","","403-646-2978","Fax"
"Chinook Feeders","2010344","","403-646-2087","Office"
"Chipman Farms","1989119","","712-744-3544","Office"
"Chipman Farms","1989119","","712-744-4241","Fax"
"Chipman Farms","1989119","","712-744-3544","Mill"
"Christensen Family Farms **MILL CLOSED**","1989141","","605-224-1649","Office"
"Christensen Family Farms **MILL CLOSED**","1989141","","507-227-3716","Mill"
"Cisco Seeds","2354954","","317-357-7013","Office"
"Claremont Colony","1989149","","605-793-2448","Fax"
"Claremont Colony","1989149","","605-793-2352","Office"
"Claremont Colony","1989149","","605-793-2355","Office"
"Claremont Colony","1989149","","605-880-9007","Mill"
"Clearfield Colony","1989150","","605-779-2711","Office"
"Coastal AgroBusiness Dillon ","2323651","","843-632-0094","Office"
"Coastal AgroBusiness Pantego ","2928863","","252.943.3593","Office"
"Cochecton Mills","1989151","","845-932-8282","Office"
"Cochecton Mills","1989151","","845-932-8865","Fax"
"Coker Feed Mill","2940603","","919-778-3491","Office"
"Coleridge Grain And Feed LLC","1989153","","402-283-4248","Mill"
"Coleridge Grain And Feed LLC","1989153","","402-283-4247","Office"
"Colorado Egg LLC (Hickman Family Farms)","1989154","","970-858-2317","Mill"
"Colorado Egg LLC (Hickman Family Farms)","1989154","","970-858-7556","Office"
"Commodity Blenders Jonesville","2327978","","517-797-4553","Office"
"Commodity Blenders Warren","2472166","","260-375-3202","Office"
"Commodity Blenders West Salem","1989156","","West Salem (Main): 419-846-8305","Mill"
"Commodity Blenders West Salem","1989156","","419-846-3155","Office"
"Commodity Blenders West Salem","1989156","","419-846-3235","Fax"
"Commodity Blenders West Salem","1989156","","Jonesville: 517-797-4553","Mill"
"Comparts Boar Store","1989157","","507-246-5179","Office"
"Comparts Boar Store","1989157","","507-225-3603","Office"
"Comparts Boar Store","1989157","","507-246-5339","Fax"
"Concord Colony","2665451","262","204-344-5840","Mill"
"Cooper Farms Paulding","2187443","","419-399-2766","Office"
"Cooperative Farmers Elevator Agronomy Center Larchwood","2965856","","605-984-2224","Office"
"Cooperative Farmers Elevator George ** Mill CLOSED **","1989110","","712-475-3009","Fax"
"Cooperative Farmers Elevator George ** Mill CLOSED **","1989110","","712-475-3347","Office"
"Cooperative Farmers Elevator Hartley","1989111","","712-728-2945","Office"
"Cooperative Farmers Elevator Hartley","1989111","","712-728-2761","Fax"
"Cooperative Farmers Elevator Hawarden ","2847542","","712-758-3636","Office"
"Cooperative Farmers Elevator Ocheyedan","1989113","","712-758-3621","Office"
"Cooperative Farmers Elevator Ocheyedan","1989113","","712-758-3625","Fax"
"Cooperative Farmers Elevator Rock Valley","1989115","","712-476-5324","Fax"
"Cooperative Farmers Elevator Rock Valley","1989115","","712-476-5321","Mill"
"Cooperative Farmers Elevator Rock Valley","1989115","","712-451-6291","Office"
"Cornerstone Ag Solutions, LLC","1989161","","260-827-0061","Office"
"Cornerstone Ag Solutions, LLC","1989161","","260-827-0058","Mill"
"Cornerstone Organic Feeds, LLC","2957576","","610-894-5106","Office"
"Couleeview Farms","2940182","","403-308-9337","Office"
"Country Partners Coop North Loup","2928871","","308-537-7141","Office"
"Country Ribbon Inc. ","1989168","","902-690-5482","Office"
"Country Visions Cooperative","2971686","","920-775-4145","Office"
"Countryside Feed LLC","1989159","","620-947-3111","Office"
"County Line Livestock LLC","1989164","","319-269-4152","Office"
"County Line Livestock LLC","1989164","","319-269-4152","Mill"
"Cox Brothers Farms","2211241","Campbell's","704-242-2154","Mobile"
"CP Feeds","2041968","","920-775-9600","Mill"
"CP Feeds","2041968","","920-775-9600","Office"
"Creighton Brothers LLC","2965752","","574-376-2386","Office"
"Crescent Feed","2839617","","417-866-4364","Office"
"Crystal Valley Jackson CLOSED","1989169","1202","507-847-4160","Office"
"Crystal Valley Jackson CLOSED","1989169","","507-847-5883","Fax"
"Crystal Valley Jackson CLOSED","1989169","1200","507-547-4160","Mill"
"Crystal Valley Janesville - CLOSED","1989172","","507-461-1285","Mill"
"Crystal Valley Janesville - CLOSED","1989172","","507-835-1720","Office"
"Crystal Valley La Salle - CLOSED","1989171","","507-726-6455","Office"
"Crystal Valley La Salle - CLOSED","1989171","","507-642-3300","Office"
"Crystal Valley Vernon Center","1989170","","507-549-3722","Mill"
"CTS Liquid Feed","2754278","","308-340-6286","Office"
"Dail Farms Inc. ","1989180","","815-622-1560","Mill"
"Dail Farms Inc. ","1989180","","815-622-1560","Office"
"Dakotaland Feeds","1989181","","605-352-8581","Office"
"Dakotaland Feeds","1989181","","605-352-8581","Mill"
"Dakotaland Feeds","1989181","","605-352-7660","Fax"
"Dan Carlisle","1989077","","217-242-9932","Mill"
"Dan Carlisle","1989077","","217-746-5471","Fax"
"Dan Carlisle","1989077","","217-746-8691","Office"
"DaveCo Farms","1989184","","812-866-2292","Office"
"DaveCo Farms","1989184","","812-866-4080","Fax"
"Daybreak Foods Estherville","1989185","200","712-859-3663","Office"
"Daybreak Foods Estherville","1989185","","712-362-7224","Mill"
"Daybreak Foods Graettinger","1989186","","712-363-2174","Mill"
"Daybreak Foods Graettinger","1989186","","712-209-2518","Mill"
"Daybreak Foods Graettinger","1989186","","712-859-3664","Fax"
"Daybreak Foods Graettinger","1989186","202","712-859-3663","Office"
"Daybreak Foods Grant Park","1989410","","815-465-2577","Fax"
"Daybreak Foods Grant Park","1989410","","269-672-7266","Office"
"Daybreak Foods Grant Park","1989410","","815-465-6425","Mill"
"Daybreak Foods Lake Mills","2054434","","920-648-8302","Office"
"Daybreak Foods Lake Mills","2054434","","920-648-7017","Office"
"DeBruyn Farms","1989209","","519-808-1393","Mill"
"Deerfield Colony","1989210","","403-758-3184","Fax"
"Deerfield Colony","1989210","215","403-758-6461","Office"
"Delta Colony","1989215","","204-385-3154","Fax"
"Delta Colony","1989215","","204-385-2411","Office"
"Delta Colony","1989215","","204-871-0747","Mill"
"Dennis Magnussen","2581977","","507-437-1626","Office"
"Dennis Magnussen","2581977","","605-368-2411","Fax"
"Devils River Whiskey","2209385","","605-368-9007","Office"
"DeYoung Hog Farm","1989217","","269-207-9261","Mill"
"DeYoung Hog Farm","1989217","","269-672-7034","Office"
"DeYoung Hog Farm","1989217","","269-672-7034","Fax"
"Diamond Z Farms - CLOSED","1989223","","402-842-4565","Office"
"Dircks Farms - MILL IS CLOSED","1989226","","563-452-3251","Office"
"Dircks Farms - MILL IS CLOSED","1989226","","319-329-9420","Mill"
"Disagro Honduras","2151972","","504-2564-6800","Office"
"Disagro Honduras","2151972","","504-3356-1072","Mill"
"Doon Elevator Feed Mill 1","1989228","","712-726-3215","Office"
"Doon Elevator Feed Mill 2","2178730","","712-726-3215","Office"
"Double I Farms","2010348","","308-876-2416","Fax"
"Double I Farms","2010348","","308-876-2490","Office"
"Double L Farms","2010349","","815-688-3353","Office"
"Double L Farms","2010349","","815-848-3914","Mill"
"Double L Farms","2010349","","815-688-3353","Fax"
"Doug Studer Farms **MILL IS SHUT DOWN**","1989229","","641-843-3120","Office"
"Doug Studer Farms **MILL IS SHUT DOWN**","1989229","","515-341-4257","Mill"
"Douglas Farms","1989230","","765-525-6509","Office"
"Douglas Feed Mill","1989231","","605-724-2181","Fax"
"Douglas Feed Mill","1989231","","605-724-2447","Office"
"Dultmeier","2841142","","402-740-6450","Office"
"Dunkerton Cooperative","1989232","","319-822-2426","Mill"
"Dunkerton Cooperative","1989232","","319-822-4291","Office"
