Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry,Fax,Other Phones,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Shipping Street,Shipping City,Shipping State/Province,Shipping Zip/Postal Code,Shipping Country
,Carroll Brewing Company,1989079,,,Brewery,,Office (515-709-0030),227 E 5th St,Carroll,IA,51401,USA,227 E 5th St,Carroll,IA,51401,USA
,Central Farm Service Owatonna (CFS) **MILL IS CLOSED**,1989086,,,Feed,507-455-1431,Mill (507-446-5048);Office (800-722-2319),PO Box 68,Truman,MN,56088,USA,605 N Cedar Ave,Owatonna,MN,55060-2323,USA
,Central Valley Ag Duncan (CVA),1989092,,,Feed,,Office (402-897-3315),PO Box 199,Duncan,NE,68634,USA,28115 158th Street,Duncan,NE,68634,USA
,Central Valley Ag Humphrey (CVA),1989095,,,Feed,402-923-1039,Office (402-923-1383),PO Box 187,Humphrey,NE,68642,USA,203 Oak Street,Humphrey,NE,68642,USA
,"Cenzone Tech, Inc.",1989108,,,Feed,,Office (760-736-9901),2110 Lower Chaparral Drive,San Marcos,CA,92069,USA,2943 Norman Strasse Rd,San Marcos,CA,92069,USA
,Cooperative Farmers Elevator George ** Mill CLOSED **,1989110,,,Feed,712-475-3009,Office (712-475-3347),"920 Main St, PO Box 69",Ocheyedan,IA,51354,USA,201 South Main Street,George,IA,51237,USA
,Christensen Family Farms **MILL CLOSED**,1989141,,,Feed,,Office (605-224-1649);Mill (507-227-3716),29049 201st Street,Pierre,SD,57501,USA,29049 201st Street,Pierre,SD,57501,USA
,Countryside Feed LLC,1989159,,,Feed,,Office (620-947-3111),101 Santa Fe Street,Hillsboro,KS,67063,USA,1972 KS-187,Seneca,KS,66538,USA
,Korova Feeders,1989160,,,Feed,,Office (403-554-8908);Mill (403-333-8909);Office (403-546-4392);Office (403-212-9000),Box 65,Acme,AB,T0M 0A0,Canada,294044 Range Rd,Acme,AB,T0M 0A0,Canada
,Crystal Valley Jackson CLOSED,1989169,,,Feed,507-847-5883,Office (507-847-4160);Mill (507-547-4160),"721 W Humphrey, PO Box 210",Lake Crystal,MN,56055,USA,127 City Road 23,Jackson,MN,56143,USA
,Crystal Valley La Salle - CLOSED,1989171,,,Feed,,Office (507-726-6455);Office (507-642-3300),111 South Broadway,La Salle,MN,56056,USA,111 South Broadway,La Salle,MN,56056,USA
,Crystal Valley Janesville - CLOSED,1989172,,,Feed,,Mill (507-461-1285);Office (507-835-1720),7800 Old US Hwy 14,Janesville,MN,56048,USA,7800 Old US Hwy 14,Janesville,MN,56048,USA
,DaveCo Farms,1989184,,,Feed,812-866-4080,Office (812-866-2292),13649 West State Road 256,Deputy,IN,47230,USA,5757 N. 800 West,Madison,IN,47250,USA
,Dwight's Farm Service North Mill (DFS),1989219,,,Feed,712-272-4258,Office (712-272-3397);Office (712-272-3396);Mill (712-272-4835),PO Box 3,Newell,IA,50568,USA,167 West 1st Street,Newell,IA,50568,USA
,Diamond Z Farms - CLOSED,1989223,,,Feed,,Office (402-842-4565),"52771 860th RoadBox 102A",Brunswick,NE,68720,USA,"52771 860th RoadBox 102A",Brunswick,NE,68720,USA
,Dircks Farms - MILL IS CLOSED,1989226,,,Feed,,Office (563-452-3251);Mill (319-329-9420),1380 120th Street,Clarence,IA,52216,USA,1380 120th Street,Clarence,IA,52216,USA
,Doug Studer Farms **MILL IS SHUT DOWN**,1989229,,,Feed,,Office (641-843-3120);Mill (515-341-4257),828 220th Street,Britt,IA,50423,USA,828 220th Street,Britt,IA,50423,USA
,Douglas Farms,1989230,,,Feed,,Office (765-525-6509),9596 W. Co. Rd. 350 South,Flatrock,IN,47234,USA,9596 W. Co. Rd. 350 South,Flatrock,IN,47234,USA
,Ernest Smith Farms,1989238,,,Feed,910-529-1844,Mill (910-529-4586);Office (910-529-9731),"250 Bellgrade AvePO Box 741",Garland,NC,28441,USA,"250 Bellgrade AvePO Box 741",Garland,NC,28441,USA
,Farmers Cooperative Society Fulda - CLOSED,1989268,,,Feed,,Office (712-722-0651);Mill (507-425-2522),,,,,,17 Country Ln,Fulda,MN,56131,USA
,Farmers Pride Cooperative Battle Creek,1989281,,,Feed,402-675-1645,Office (402-675-2375),PO Box 10,Battle Creek,NE,68715,USA,83755 South Hwy 121,Battle Creek,NE,68715,USA
,Farmers Pride Cooperative Newman Grove,1989283,,,Feed,,,PO Box 10,Battle Creek,NE,68715,USA,6th & Logan,Newman Grove,NE,68758,USA
,First Cooperative Association **MILL CLOSED**,1989287,,,Feed,712-368-4750,Office (712-225-5426);Office (712-368-4311);Mill (712-368-4311),Box 230,Holstein,IA,51025,USA,204 E 1st Street,Holstein,IA,51025,USA
,Foam Brewers,1989292,,,Brewery,,Office (802-999-3020),112 Lake Street,Burlington,VT,05401,USA,112 Lake Street,Burlington,VT,05401,USA
,Gary Rouse,1989299,,,Feed,,Office (712-858-4442);Mobile (712-330-1031);Mill (712-330-1031),1128 Hwy 71,Spirit Lake,IA,51360,USA,1128 Hwy 71,Spirit Lake,IA,51360,USA
,"J.E. Meuret Grain Company, Inc. Brunswick ** This Mill is CLOSED**",1989302,,,Feed,402-842-3115,Office (800-627-1543);Mill (402-842-3301),,,,,,101 Franklin St,Brunswick,NE,68720,USA
,Hi-Point Stock Farm LTD,1989332,,,Feed,306-652-8665,Office (306-934-2727);Mill (306-937-7067),,,,,,,Battleford,SK,S0M 0E0,Canada
,High Ridge Pork LLC,1989338,,,Feed,,Office (217-997-2244),PO Box 212,Chapin,IL,62628,USA,501 W Main St,Arenzville,IL,62611,USA
,HJ Baker Trawick **CLOSED**,1989348,,,Feed,936-326-4016,Office (936-205-2571);Office (936-326-5030);Mill (936-205-2570),,,,,,,,,,
,Hog Haven,1989351,,,Feed,217-379-2614,Mill (217-781-2601);Office (217-379-3697),927 North 1600 East Road,Loda,IL,60948,USA,927 North 1600 East Road,Loda,IL,60948,USA
,Hillside Poultry Farm 2,1989346,2/4/2026 12:00 PM,,Feed,717-264-9898,Office (717-264-8787),3016 Letterkenny Road,Chambersburg,PA,17201,USA,3016 Letterkenny Road,Chambersburg,PA,17201,USA
,J And H Milling Batcher #2 **CLOSED**,1989377,,,Feed,,,,,,,,,,,,
,Sandy Road Farms - CLOSED,1989392,,,Feed,,Office (620-563-7226);Mill (620-563-7982),23179 5 Road,Plains,KS,67689,USA,23179 5 Road,Plains,KS,67689,USA
,Keller Grain And Feed,1989399,,,Feed,,Office (937-448-2284),7977 Main Street - Horatio,Greenville,OH,45331,USA,7977 Main Street - Horatio,Greenville,OH,45331,USA
,Kraak Farms,1989411,,,Feed,,Mill (519-485-3568);Office (519-281-2946),344071 Ebenezer Road,Mount Elgin,ON,N0J 1N0,Canada,264040 Prouse Road,Mount Elgin,ON,N0J 1N0,Canada
,Kregels Inc. **CLOSED**,1989412,,,Feed,563-984-9197,Office (563-880-2188);Mill (563-608-0322),24438 Iris Avenue,Garnavillo,IA,52049,USA,24438 Iris Avenue,Garnavillo,IA,52049,USA
,Kuntz By-Products OLD MILL ,1989413,,,Feed,,Office (815-945-7387);Mill (815-848-7384),25055 E 3100 N Road,Chenoah,IL,61726,USA,31258 N 2550 East Road,Chenoah,IL,61726,USA
,Ledger Swine Farm,1989423,,,Feed,319-662-9550,Office (319-662-9022);Mill (319-430-4872),2637 P Avenue,Williamsburg,IA,52361,USA,2637 P Avenue,Williamsburg,IA,52361,USA
,Strawn Pork LLC - CLOSED,1989425,,,Feed,815-688-3344,Mill (815-688-3206);Office (815-688-3335),2814 N 2800 East Road,Strawn,IL,61775,USA,2928 North 2900 East Road,Strawn,IL,61775,USA
,Litwiller Ridge MILL CLOSED,1989433,,,Feed,,Office (319-646-2291),3102 305th Street,Parnell,IA,52325,USA,3102 305th Street,Parnell,IA,52325,USA
,Mae-Mart Farms **CLOSED**,1989438,,,Feed,,Office (519-805-4987);Mill (519-443-0021),"McQuipment Ltd596210 Hwy 59Attn: Bruce Bell",Hickson,ON,N0J 1L0,Canada,Concesstion 8 Fire Number 1834  RR4,Waterford,ON,NOE 1YO,Canada
,Midwest Farms Onalaska,1989456,,,Feed,608-783-8817,Office (608-783-8888),2700 Midwest Drive,Onalaska,WI,54650-8764,USA,2700 Midwest Drive,Onalaska,WI,54650-8764,USA
,Morsan Farms LTD,1989472,,,Feed,,Office (403-783-8784),64 27211 Hwy 12,Lacombe,AB,,Canada,"Box 5, Site 15, RR#1",Ponoka,AB,T4J 1R1,Canada
,New Vision Cooperative Jeffers,1989486,,,Feed,507-628-4944,Mill (507-472-8233);Office (507-628-5566),412 East Peavey Street,Jeffers,MN,56145,USA,115 3rd Ave N,Lismore,MN,56155,USA
,Overtime Farms,1989504,,,Feed,,Office (269-816-7027);Mill (269-876-2991),"53840 Brandt RoadBacon Acre",Marcellus,MI,49067,USA,"53840 Brandt RoadBacon Acre",Marcellus,MI,49067,USA
,Ozatonka Acres,1989506,,,Feed,507-787-2240,Office (507-787-2582);Mill (507-317-4142),46850 140th Street,Easton,MN,56025,USA,46850 140th Street,Easton,MN,56025,USA
,Pillen Family Farms Bartlett **CLOSED**,1989523,,,Feed,308-654-3548,Office (308-654-3544),East Side of Hwy 281,Bartlett,NE,68622,USA,East Side of Hwy 281,Bartlett,NE,68622,USA
,Pryes Brewing,1989544,,,Brewery,,Office (612-747-6190),1401 West River Road N,Minneapolis,MN,55411,USA,1401 West River Road N,Minneapolis,MN,55411,USA
,Roggie Farms LLC,1989560,,,Feed,315-493-0607,Office (315-493-0559);Mill (315-783-4872),36537 New York State Route 26,Carthage,NY,13619,USA,36537 New York State Route 26,Carthage,NY,13619,USA
,New Cooperative Diagonal (UFC) - CLOSED,1992618,,,Feed,641-734-5304,Office (641-734-5303);Mill (641-202-1403),PO Box 19,Afton,IA,50830,USA,"317 BroadwayPO Box 50",Diagonal,IA,50845,USA
,New Cooperative Red Oak - CLOSED,1992619,,,Feed,712-623-9154,Office (712-623-5451),203 West Oak,Red Oak ,IA,51566,USA,203 West Oak,Red Oak ,IA,51566,USA
,Vanden Dool Farms,1992627,,,Feed,403-732-5272,Office (403-732-4736);Mill (403-308-7979 Mike's cell),Box 610,Picture Butte,AB,T0K 1V0,Canada,Box 610,Picture Butte,AB,T0K 1V0,Canada
,Ward And Van Scoy,1992644,,,Feed,607-687-2713,Office (607-687-2713),"PO Box 359162 North Ave",Owego,NY,13827,USA,"PO Box 359162 North Ave",Owego,NY,13827,USA
,Willow Creek ,1994171,,,Feed,989-838-2689,Mill (989-330-5459 Sarah cell);Office (989-838-2272),305 E Roosevelt,Ashley,MI,48806,USA,305 E Roosevelt,Ashley,MI,48806,USA
,Windmill Farms USA Inc.  CLOSED,1994173,,,Feed,,Office (507-848-3961);Mill (507-236-2621),PO Box 1037,Fairmont,MN,56181,USA,PO Box 1037,Fairmont,MN,56181,USA
,Valley Feed Company,2002296,,,Feed,540-886-4394,Office (540-886-2311),PO Box 514,Stauton ,VA,24402-0514,USA,316 New Hope Road,Staunton,VA,24401,USA
,Nutrien Ag Solutions Bangor,2350551,,,Agronomy-Dry,,,,,,,,54200 28th Ave,Bangor,MI,49013,USA
,LD Carlson,2002922,,,Brewery,,Office (330-593-6013),,,,,,463 Portage Blvd,Kent,OH,44240,USA
,Vontalge Farms,2004358,,,Feed,,Office (563-927-4656),2117 210th Street,Manchester,IA,52057,USA,2117 210th Street,Manchester,IA,52057,USA
,Goat Island Brewing,2005126,,,Brewery,,,,,,,,"5491, 1649 John H Cooper Dr SE A",Cullman,AL,35055,USA
,Rahn Farms,2005130,,,Feed,,Mill (507-317-5787),16740 549th Ave,Good Thunder,MN,56037,USA,17775 Gopher Road,Good Thunder,MN,56037,USA
,Tama Benton Coop,2929302,11/1/2025 12:00 PM,,Agronomy-Dry,,Office (319-476-3666),,,,,,504 Estelle,Dysart,IA,52224,USA
,Associated Feeds,2937692,,,Feed,,,,,,,,5213 W Main Street,Turlock,CA,95380,USA
,McLellan Industries LTD,2005457,,,Feed,,Office (519-485-1239),PO Box 423,Palmerston,ON,N0G 2P0,Canada,340 Minto Road,Palmerton,ON,N0G 2P0,Canada
,Brinkman Pork Farm,2005472,,,Feed,618-478-5532,Office (618-478-5527),18172 Pine Road,Hoyleton,IL,62803,USA,18172 Pine Road,Hoyleton,IL,62803,USA
,Off Square Brewing,2006474,,,Brewery,,Office (219-776-8830),11000 Delaware Pkwy,Crown Point,IN,46307,USA,11000 Delaware Pkwy,Crown Point,IN,46307,USA
,T and M Farms,2006479,,,Feed,,,26798 Town Ave,Worthington,MN,56187,USA,26798 Town Ave,Worthington,MN,56187,USA
,Famsun,2008203,,,Feed,,,,,,,,1605,Manila,,,Phillippines
,Sinclair Elevator,2008260,,,Feed,319-347-2459,Office (319-346-1955);Mill (319-346-1740);Office (319-346-1954),32746 Sinclair Avene,Parkersburg,IA,50665,USA,32746 Sinclair Avene,Parkersburg,IA,50665,USA
,APEX Nutri Solutions Inc.,2008310,,,Feed,780-877-2173,Office (780-877-2171),Box 173,Edberg,AB,T0B 1J0,Canada,Box 173,Edberg,AB,T0B 1J0,Canada
,Aspenheim Colony,2008313,,,Feed,,Office (204-274-2046);Mill (204-871-2182),Box 70,Bagot,MB,R0H 0E0,Canada,Box 70,Bagot,MB,R0H 0E0,Canada
,Elite Stock Farms,2010294,,,Feed,,Office (306-243-4600);Office (306-243-2005),Box 1098,Outlook,SK,F0L 2N0,Canada,Box 1098,Outlook,SK,F0L 2N0,Canada
,Hoff Brothers,2010300,,,Feed,,Office (507-283-4023),1377 US Hwy 75,Luverne,MN,56156,USA,1377 US Hwy 75,Luverne,MN,56156,USA
,TMI,2010331,,,Feed,615-594-8487,Office (618-594-2125),18395 Post Oak Road,Carlyle,IL,62231-3017,USA,18395 Post Oak Road,Carlyle,IL,62231-3017,USA
,Becker Farms,2010333,,,Feed,,Office (218-732-3619),14730 139th Avenue,Park Rapids,MN,56470,USA,14730 139th Avenue,Park Rapids,MN,56470,USA
,Scott Birkey,2010335,,,Feed,,Office (309-449-6678),28260 Olympia Road,Hopedale,IL,61747,USA,28260 Olympia Road,Hopedale,IL,61747,USA
,Chinook Feeders,2010344,,,Feed,403-646-2978,Mill (403-652-9541 Karen cell);Office (403-646-2087),Box 343,Nanton,AB,T0L 1R0,Canada,Box 343,Nanton,AB,T0L 1R0,Canada
,Double I Farms,2010348,,,Feed,308-876-2416,Office (308-876-2490),"RR1 Box 7174250 H Road",Loomis,NE,68958,USA,"RR1 Box 7174250 H Road",Loomis,NE,68958,USA
,Frank Theis Farms,2010351,,,Feed,641-982-4955,Office (641-982-4925),3249 370th Street,Osage,IA,50461-8531,USA,3249 370th Street,Osage,IA,50461-8531,USA
,Jon Helvig,2010372,,,Feed,,Office (507-639-3393),1480 200th Street,Truman,MN,56088,USA,1480 200th Street,Truman,MN,56088,USA
,Hintzsche Brothers - IL,2010378,,,Feed,630-557-2557,Office (630-557-2406);Mill (800-446-3378),PO Box 367,Maple Park,IL,60151,USA,2S181 County Line Road,Maple Park,IL,60151,USA
,K and L Pork,2010403,,,Feed,507-278-4118,Office (507-278-4118),54648 164th Lane,Good Thunder,MN,56037,USA,54648 164th Lane,Good Thunder,MN,56037,USA
,Keenview Farms LTD,2010404,,,Feed,,Office (905-774-5328),1045 Hald-Dunn Townline Road,Dunnville,ON,N1A 2W4,Canada,1045 Hald-Dunn Townline Road,Dunnville,ON,N1A 2W4,Canada
,Land O' Lakes - Purina - Pro Pet,2010411,,,Feed,507-451-2412,Office (507-451-8900),800 24th Ave NW,Owatonna,MN,55060,USA,800 24th Ave NW,Owatonna,MN,55060,USA
,Ledge Farms,2010412,,,Feed,,Office (585-762-8620),7495 Maple Street,Basom,NY,14013,USA,7495 Maple Street,Basom,NY,14013,USA
,Tom Menchhofer,2010427,,,Feed,,Mill (812-756-0163 Tom);Office (812-756-1810 Melissa),5383 West County Road 250 North,Holton,IN,47023,USA,5383 West County Road 250 North,Holton,IN,47023,USA
,Mountain Prairie LLC,2010432,,,Feed,,Mill (719-688-9979 Larry cell),300 5th Street Unit 1,Las Animas,CO,81054,USA,25301 Hwy 101,Las Animas,CO,81054,USA
,Poky Feeders,2010434,,,Feed,620-872-7046,Mill (620-872-2570);Office (620-872-5834),600 East Road 30,Scott City,KS,67871,USA,600 East Road 30,Scott City,KS,67871,USA
,Souris River Colony,2010451,,,Feed,204-769-2110,Office (204-769-2148),Box 149,Elgin,MB,R0K 0T0,Canada,Box 149,Elgin,MB,R0K 0T0,Canada
,"Vaubel Farms, Inc.",2010458,,,Feed,,Office (507-524-4675);Mill (507-524-3793),14731 599th Avenue,Mapleton,MN,56065,USA,14731 599th Avenue,Mapleton,MN,56065,USA
,Zimmerman Brothers Feed And Grain,2010470,,,Feed,815-657-8316,Office (815-657-8311),"RR2 Box 829698 E 825 N Road",Forrest,IL,61741,USA,"RR2 Box 829698 E 825 N Road",Forrest,IL,61741,USA
,Trademark Nitrogen,2010570,,,Agronomy-Dry,,,,,,,,1216 Old Hopewell Road,Tampa,FL,33619,USA
,Stewart Maschmeyer,2010646,,,Feed,,,,,,,,,Bruderheim,AB,,Canada
,Brew Theory,2026820,,,Brewery,,Office (407-310-7423),,,,,,400 Pittman St,Orlando,FL,32801,USA
,Devenish Nutrition Corporate LLC,2026822,,,Feed,,,2320 Lake Ave,Fairmont,MN,56031,USA,,,,,
,Devenish Nutrition LLC Gentry,2026823,,,Feed,,,,,,,,18790 Old Springtown Road,Gentry,AR,72734,USA
,Devenish Nutrition LLC Thompson,2026824,,,Feed,,,,,,,,148 Vigortone Road,Thompson,GA,30824,USA
,Quality Liquid Feeds Muskogee,2026944,,,Feed,,,,,,,,2530 Port Place,Muskogee,OK,74403,USA
,Southwest Transfer,2029521,,,Feed,,Office (612-221-2799),1025 7th Ave,Brookings,SD,57006,USA,11280 295th Street,Marshall,MN,56258,USA
,Ag Pro,2029580,,,Other,,,3106 S Faith Home Road,Turlock,CA,95381,USA,3106 S Faith Home Road,Turlock,CA,95381,USA
,Kialla Holdings,2029586,,,Feed,,,,,,,,342 Greenmount-etonvale Rd,Brisbane,Queensland,4359,Australia
,"Riverside Feeds, LLC",2353039,7/6/2025 12:00 PM,,Feed,,Office (641-985-2494),300 Forest Street,Riceville,IA,50466,USA,300 Forest Street,Riceville,IA,50466,USA
,Rice Farms Ltd,2039441,,,Feed,,,5025 51 Street,LaCombe,AB,T4L 2A3,Canada,5025 51 Street,LaCombe,AB,T4L 2A3,Canada
,Tim Janzen,2040207,,,Feed,,Office (507-822-3054),39421 County Rd 1,Mountain Lake,MN,56159,USA,39421 County Rd 1,Mountain Lake,MN,56159,USA
,Badger State Brewing,2045024,,,Brewery,,Office (920-634-5687),,,,,,990 Tony Canadeo Run,Green Bay,WI,54304,USA
,MKE Brewing,2045229,,,Brewery,,Office (414-232-2337),,,,,,1128 N 9th St,Milwaukee,WI,53233,USA
,Sacate Pellet Mills Inc,2052086,,,Feed,,Office (602-606-8024),,,,,,38351 W Cowtown Road,Maricopa,AZ,85239,USA
,Buffalo Bayou Brewing Company,2052116,,,Brewery,,,,,,,,2101 Summer St,Houston ,TX,77007,USA
,Gruner Brothers Brewery,2053061,,,Brewery,,,,,,,,1301 Wilkins Circle,Casper,WY,82601,USA
,Evonik Corporation,2075085,,,Feed,,Office (678-797-4300),1701 Barrett Lakes Blvd,Kennesaw,GA,30144,USA,1701 Barrett Lakes Blvd,Kennesaw,GA,30144,USA
,Reunion Island,2080508,,,Brewery,,,,,,,,1701 S. Highland Ave,Baltimore,MD,21224,USA
,Fersan,2955484,,,Agronomy-Dry,,,,,,,,,Santo Domingo,,,Dominican Republic
,River Mills,2105341,,,Feed,,,,,,,,SW 17-4-5E,Saint Malo,MB,R0A 1T0,Canada
,HempXtracts of Colorado,2106144,,,Other,,,,,,,,6275 Lake Shore Court,Colorado Springs ,CO,80915,USA
,Mighty Squirrel Brewery,2108376,,,Brewery,,,,,,,,411 Waverley Oaks Rd,Waltham,MA,02452,USA
,Other Half Brewing Brooklyn,2109125,,,Brewery,,,,,,,,195 Centre St,Brooklyn,NY,11231,USA
,Chandler Feed  Company Hardwick,2123386,4/25/2026 12:00 PM,,Feed,,Office (507-669-2115),,,,,,107 West First Street,Hardwick,MN,56134,USA
,Southern Pines Brewing,2124134,,,Brewery,,Office (910-365-9925),,,,,,171 Bridgewater Drive,Southern Pines,NC,28387,USA
,Sun King Brewery,2124141,,,Brewery,,,,,,,,351 Monon Blvd,Carmel,IN,46032,USA
,Prairie Horizon Agri-Energy (ICM),2124203,,,Other,,,,,,,,1664E 100 Rd,Phillipsburg,KS,67661,USA
,Indeed Brewing,2129736,,,Brewery,,Office (612-237-9815),,,,,,530 South 2nd Street,Milwaukee,WI,53204,USA
,Logboat Brewing Co.,2130601,,,Brewery,,Office (573-424-7221),,,,,,504 Fay Street,Columbia,MO,65201,USA
,All American Cooperative,2131475,,,Feed,507-280-0066,Mill (507-533-4222),113 4th Street SE,Stewartville,MN,55976,USA,113 4th Street SE,Stewartville,MN,55976,USA
,Heimerl Farms Celina,2133102,,,Feed,,Office (614-206-1300),3891 Mink Street,Johnstown,OH,43031,USA,1061 State Route 29,Celina,OH,45822,USA
,Farmers Cooperative Beatrice,2134743,,,Feed,,,,,,,,2020 South 6th Street,Beatrice,NE,68310,USA
,John Preussner,2134761,,,Feed,,Office (563-924-2591),1276 160th Street,Dundee,IA,52038,USA,1276 160th Street,Dundee,IA,52038,USA
,Lewis Farms,2277600,8/25/2025 12:00 PM,,Feed,,Office (403-596-6932),,,,,,27115A Township Road 524,Spruce Grove,AB,T7X 3M9,Canada
,Disagro Panama,2151970,,,Agronomy-Dry,,,,,,,,V8QC+PHC,San Vicente de Bique,,,Panama
,Grand Armory Brewing Co.,2152045,,,Brewery,,,,,,,,1734 Airpark Drive Unit B,Grand Haven,MI,49417,USA
,Falling Knife Brewing,2152095,,,Brewery,,Office (952-905-4379),,,,,,783 Harding Street NE Suite 100,Minneapolis,MN,55413,USA
,Urban Family Brewing,2154715,,,Brewery,,Office (206-946-8533),,,,,,4441 26th Ave West,Seattle ,WA,98199,USA
,ACA Bio (ICM),2159177,,,Other,,,,,,,,"Autopista Nacional N9Km 555 5900 General",San Martin,Cordoba,,Argentina
,"Element, LLC (ICM)",2041969,,,Feed,,,,,,,,PO Box 397,Colwich,KS,67030,USA
,Chandler Feed Company Corporate,2042004,,,Feed,,,741 Valley Road,Chandler,MN,56122,USA,,,,,
,Sailfish Brewing,2187707,,,Brewery,,,,,,,,130 N 2nd St,Fort Pierce,IL,34950,USA
,Growmark Yankton,2540712,3/23/2026 12:00 PM,,Agronomy-Dry,,,114 Mulberry Street,Yankton,SD,57078,USA,2301 East Side Drive,Yankton,SD,57078,USA
,Nutrition Services West Mill (Old Mill),2819541,,,Feed,,Office (217-357-2192),,,,,,1798 E Hwy 136,Carthage,IL,62321,USA
,Central Farmers Coop Fremar,2829738,3/1/2026 12:00 PM,,Agronomy-Dry And Liquid,,,44608 273rd Street,Marion,SD,57043,USA,44608 273rd Street,Marion,SD,57043,USA
,Green Valley Poultry,2928330,,,Feed,,,,,,,,15243 Wyndale road,Abingdon,VA,24210,USA
,Cooper Farms Fort Recovery,2970496,,,Feed,,,,,,,,3310 State Route 49N,Fort Recovery,OH,45846,USA
,Cenex Harvest States Shenandoah (CHS),1989145,1/1/2026 12:00 PM,,Feed,,Office (712-246-1540),1857 US Hwy 59,Shenandoah,IA,51601,USA,1857 US Hwy 59,Shenandoah,IA,51601,USA
,Premium Feed And Grain Merrill,2955122,6/27/2026 12:00 PM,,Feed,,Office (712-533-6514);Mill (712-938-6115),"205 Elm StreetPO Box 177",Brunsville,IA,51008,USA,221 Main Street,Merrill,IA,51038,USA
,Turf Care Supply,2856208,,,Agronomy-Liquid,,Office (423.637.9570),PO Box 2516,Cleveland,TN,37320,USA,,,,,
,Whitemud Farms,2168447,,,Feed,,,,,,,,Box 178,Thorhild,AB,T0J 3J0,Canada
,Ripberger Farms,2169521,,,Feed,,,7151E  600N,Falmouth,IN,46127,USA,7151E  600N,Falmouth,IN,46127,USA
,Bartlett Cooperative,2174066,,,Feed,,,,,,,,"401 Main StreetPO Box 4675",Bartlett,KS,67332,USA
,Ag Partners LLC Ellsworth,2174144,,,Feed,,Office (515-836-2126),,,,,,3364 Vail Ave,Ellsworth,IA,50075,USA
,Wayne County Feed ,1992615,5/1/2026 12:00 PM,,Feed,,Office (402-585-4848);Mill (402-585-4867),"C/O Nelson Poultry Farms8530 E Hwy 24",Manhattan,KS,66502,USA,301 Lincoln Street,Carroll,NE,68723,USA
,Schwartz Finishing Corporate,2951377,,,Feed,,,32296 190th Street,Sleepy Eye,MN,56085,USA,,,,,
,AgroLiquid,2951378,1/24/2026 12:00 PM,,Agronomy-Liquid,,,,,,,,302 Sectionline Street,Ashley,MI,48806,USA
,East Raymond Colony ,1989245,8/3/2025 12:00 PM,,Feed,,Mill (403-892-0886);Office (403-320-4501),PO Box 1279,Raymond,AB,T0K 2S0,Canada,PO Box 1279,Raymond,AB,T0K 2S0,Canada
