Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry
"","Burkey Farms - MILL CLOSED","1989064","","","Feed"
"","Burkholder Farms","2123385","","","Feed"
"","Bush Farms Inc. ","1989065","9/14/2026 12:00 PM","","Feed"
"","C And R Pork Farms Inc. ","1989066","","","Feed"
"","Cabka","2892139","","","Feed"
"","Cadelga Guatemala","2572446","","www.grupocadelga.com","Agronomy-Dry"
"Mill Manager","Cal Maine Foods Bethune","2379330","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Boling  ","2957454","","","Feed"
"","Cal Maine Foods Bremen","2522433","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Bushnell","2522422","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Chase","2890282","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Chillicothe","2747592","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Clarksville","2522428","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Corporate","2252338","","","Feed"
"Headquartered in Jackson, Mississippi, Cal-Maine Foods is the largest producer and distributor of fresh shell eggs in the United States and sells the majority of its shell eggs across the southwestern, southeastern, mid-western and mid-Atlantic regions of the United States.","Cal Maine Foods Delta","2252442","6/1/2026 12:00 PM","https://www.calmainefoods.com/","Feed"
"","Cal Maine Foods Dexter","2959254","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Edwards","2645748","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Farwell","2841059","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Flatonia","2793213","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Green Forest","2354895","6/1/2026 12:00 PM","","Feed"
"Mill Manager","Cal Maine Foods Newberry ","2968400","","","Feed"
"","Cal Maine Foods Patterson","2878046","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Red River ","2839551","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Searcy","2252339","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Shady Dale","2794483","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Statesville","2975459","","","Feed"
"","Cal Maine Foods Union City","2354896","6/1/2026 12:00 PM","","Feed"
"","Cal Maine Foods Watts ","2847189","6/1/2026 12:00 PM","","Feed"
"","Caledonia Farmers Elevator","1989070","9/1/2025 12:00 PM","","Feed"
"","Camrose Colony Montana","1989073","11/1/2025 12:00 PM","","Feed"
"","Camrose Colony South Dakota","2883254","","","Feed"
"","Canby Farmers Grain Company Canby","1989074","9/23/2025 12:00 PM","","Grain"
"","Canby Farmers Grain Company Dawson","2973491","9/23/2025 12:00 PM","","Grain"
"","Canmark Farms Inc. ***Broekfarms bought this mill***","1989075","","","Feed"
"","Cardinal Ethanol","2785734","","","Other"
"","Cargill Animal Nutrition","2978633","","","Feed"
"","Carroll Brewing Company","1989079","","","Brewery"
"","Carroll Farms","1989078","3/6/2026 12:00 PM","","Feed"
"","Carstens And Sons Farm Grain","2751044","9/23/2025 12:00 PM","","Grain"
"","Carstens Livestock Feed Mill Bagley","1989080","9/12/2025 12:00 PM","","Feed"
"","Carstens Livestock Feed Mill Corporate","2948760","","","Feed"
"","Carstens Livestock Feed Mill Linden","1989081","9/12/2025 12:00 PM","","Feed"
"","Cascade Colony","2328062","4/8/2026 12:00 PM","","Feed"
"","Case Farms","2834559","","","Feed"
"","Casella Waste Systems","2379830","","","Feed"
"","Cashton Farm Supply Specialties Corporate","2948761","","","Feed"
"","Cashton Farm Supply Specialties New Mill (CFS)","1989068","11/1/2025 12:00 PM","","Feed"
"","Cashton Farm Supply Specialties Old Mill (CFS)","1989069","3/30/2026 12:00 PM","","Feed"
"","Castle Island Brewing Company","1989082","","","Brewery"
"","Cavendish Agri Services","2472873","","","Feed"
"","CBL Farms","1989083","11/5/2025 12:00 PM","","Feed"
"","Cedar County Coop Corporate","2948762","","","Feed"
"","Cedar County Coop Tipton","2249730","12/14/2025 12:00 PM","","Feed"
"","Cedar County Coop West Branch","2187369","9/14/2025 12:00 PM","","Feed"
"","Cedar Lane Ag LLC","2476783","","","Feed"
"","Cedar Ridge Farms","1989084","8/8/2025 12:00 PM","","Feed"
"","Cenex Harvest States Corporate (CHS)","1989177","","","Feed"
"","Cenex Harvest States Corsica (CHS)","1989262","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Corson (CHS)","1989142","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Dickinson (CHS)","1989148","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Edgeley (CHS)","2277673","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Gettysburg (CHS)","2277676","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Great Falls (CHS)","1989143","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Harrisburg (CHS)","2277674","1/1/2026 12:00 PM","","Feed"
"12/5/22 all invoices get emailed to hermistonfeedorder@chsinc.com - per email from Misti Thompson","Cenex Harvest States Hermiston (CHS)","2004216","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Luverne (CHS)","1989147","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Marshall Dairy (CHS) - Midwest Ag","2609647","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Marshall Feedlot (CHS) - Midwest Ag","2277672","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Marshall Liquid (CHS) - Midwest Ag","2800763","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Progressive Nutrition Norfolk (CHS)","1989542","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Shenandoah (CHS)","1989145","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States South Mandan (CHS) - Midwest Ag","2957500","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Tillamook (CHS)","2153957","1/1/2026 12:00 PM","","Feed"
"","Cenex Harvest States Tracy (CHS)","1989146","","","Feed"
"","Cenex Harvest States Winner (CHS)","1989167","1/1/2026 12:00 PM","","Feed"
"","Centerra Coop","2891507","6/10/2025 12:00 PM","","Feed"
"","Centra Sota Cooperative","1989085","1/20/2026 12:00 PM","","Feed"
"","Central Farm Service Corporate (CFS)","2948763","","","Feed"
"","Central Farm Service Freeborn (CFS)","2010339","1/4/2026 12:00 PM","","Feed"
"","Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","","","Feed"
"","Central Farm Service St James","2010341","","","Feed"
"","Central Farm Service Truman (CFS)","1989087","8/11/2025 12:00 PM","","Feed"
"","Central Farmers Coop Fremar","2829738","3/1/2026 12:00 PM","","Agronomy-Dry And Liquid"
"","Central Farmers Cooperative Montrose","1989088","7/25/2025 12:00 PM","","Feed"
"","Central Ontairo FS Grand Valley","2839227","12/16/2025 12:00 PM","","Feed"
"","Central Region Coop / BCA Products","2754271","","","Feed"
"","Central Region Cooperative Cobden","1989090","6/15/2026 12:00 PM","","Feed"
"","Central Region Cooperative Corporate","2005398","","","Feed"
"","Central Region Cooperative Fairfax","2154757","6/15/2026 12:00 PM","","Feed"
"","Central Region Cooperative Gibbon","1989089","4/30/2026 12:00 PM","","Feed"
"","Central Region Cooperative Sleepy Eye Feed Mill - West","2502687","4/30/2026 12:00 PM","","Feed"
"","Central Region Cooperative Sleepy Eye Grain - East","2502689","4/30/2026 12:00 PM","","Feed"
"","Central Valley Ag Ainsworth (CVA)","1989260","8/4/2025 12:00 PM","","Feed"
"","Central Valley Ag Corporate","2951141","","","Feed"
"","Central Valley Ag Courtland","2955301","4/11/2026 12:00 PM","","Agronomy-Liquid"
"","Central Valley Ag Daykin Milling LLC","2005017","9/28/2025 12:00 PM","","Feed"
"","Central Valley Ag Duncan (CVA)","1989092","","","Feed"
"","Central Valley Ag Elgin (CVA)","1989093","9/8/2025 12:00 PM","","Feed"
"","Central Valley Ag Fullerton","2618019","","","Feed"
"","Central Valley Ag Humphrey (CVA)","1989095","","","Feed"
"","Central Valley Ag Junction Agronomy Center","2972027","","","Agronomy-Liquid"
"","Central Valley Ag Scribner (CVA)","1989096","1/29/2026 12:00 PM","","Feed"
"","Central Valley Ag Utica (CVA)","1989099","8/4/2025 12:00 PM","","Feed"
"","Central Valley Ag Wakefield (CVA)","1989100","","","Feed"
"","Central Valley Ag York","2937145","","","Agronomy-Liquid"
"","Central Valley Eggs Corcoran ","2878590","6/27/2025 12:00 PM","","Feed"
"","Century Nutrition Inc","2040728","2/1/2026 12:00 PM","","Feed"
"","Cenzone Tech, Inc.","1989108","","","Feed"
"","Chandler Coop Lake Wilson","2799903","3/28/2026 12:00 PM","","Agronomy-Dry"
"","Chandler Feed  Company Hardwick","2123386","4/25/2026 12:00 PM","","Feed"
"","Chandler Feed Company Chandler","1989116","9/27/2025 12:00 PM","","Feed"
"","Chandler Feed Company Corporate","2042004","","","Feed"
"","Chandler Feed Company Edgerton","2104887","4/25/2026 12:00 PM","","Feed"
"","Chandler Feed Company Leota","2042002","2/5/2026 12:00 PM","","Feed"
"","Chandler Feed Company Pipestone","2925664","4/25/2026 12:00 PM","","Feed"
"","Chandler Feed Company Woodstock","2104888","10/5/2025 12:00 PM","","Feed"
"","Chaseburg Farmers Coop","2641161","7/30/2025 12:00 PM","","Feed"
"","Checkerspot Brewing","2916783","","","Brewery"
"","Cheyenne Ranch (AMVC)","1989117","12/29/2025 12:00 PM","","Feed"
"","Chinn Feed","1989118","7/28/2025 12:00 PM","","Feed"
"","Chinook Feeders","2010344","","","Feed"
"","Chipman Farms","1989119","12/13/2025 12:00 PM","","Feed"
"","Christensen Family Farms **MILL CLOSED**","1989141","","","Feed"
"","CHS Circle (Cenex Harvest States)","2958109","","","Feed"
"","Cisco Seeds","2354954","","","Other"
"","City of Goldsboro NC","2179855","","","Other"
"","City Side Farms LTD","2645973","","","Feed"
"","Claremont Colony","1989149","1/29/2026 12:00 PM","","Feed"
"","Clearfield Colony","1989150","10/12/2025 12:00 PM","","Feed"
"","Clover Hill Dairy","2912875","11/1/2025 12:00 PM","","Feed"
"","Coastal AgroBusiness Clinton ","2923100","3/15/2026 12:00 PM","","Agronomy-Dry"
"","Coastal AgroBusiness Corporate","2948829","","","Agronomy-Dry"
"","Coastal AgroBusiness Dillon ","2323651","1/28/2026 12:00 PM","","Agronomy-Dry"
"","Coastal AgroBusiness Kinston ","2656864","","","Agronomy-Dry"
"","Coastal AgroBusiness Pantego ","2928863","","","Agronomy-Dry"
"","Cochecton Mills","1989151","11/3/2025 12:00 PM","","Feed"
"","Codesa Colony","2973847","","","Feed"
"","Coker Feed Mill","2940603","","","Feed"
"","Coleridge Grain And Feed LLC","1989153","9/25/2025 12:00 PM","","Feed"
"","Colorado Egg Corporate","2951160","","","Feed"
"","Colorado Egg LLC (Hickman Family Farms)","1989154","3/16/2026 12:00 PM","","Feed"
"","Commodity Blenders Corporate","2951161","","","Feed"
"","Commodity Blenders Jonesville","2327978","2/10/2026 12:00 PM","","Feed"
"","Commodity Blenders Warren","2472166","3/3/2026 12:00 PM","","Feed"
"","Commodity Blenders West Salem","1989156","11/26/2025 12:00 PM","","Feed"
"","Comparts Boar Store","1989157","12/1/2025 12:00 PM","","Feed"
"","Concept Agri Tek","2847944","5/26/2026 12:00 PM","","Agronomy-Liquid"
"","Concord Colony","2665451","9/24/2025 12:00 PM","concordchicken.com","Feed"
"","Cooper Farms Fort Recovery","2970496","","","Feed"
"","Cooper Farms Paulding","2187443","","","Feed"
"","Cooperative Farmers Elevator Agronomy Center Larchwood","2965856","4/14/2026 12:00 PM","","Agronomy-Liquid"
"","Cooperative Farmers Elevator Corporate","2951162","","","Multiple"
"","Cooperative Farmers Elevator George ** Mill CLOSED **","1989110","","","Feed"
"","Cooperative Farmers Elevator Hartley","1989111","2/10/2026 12:00 PM","","Feed"
"","Cooperative Farmers Elevator Hawarden ","2847542","9/29/2025 12:00 PM","","Agronomy-Dry And Liquid"
"","Cooperative Farmers Elevator Ocheyedan","1989113","2/10/2026 12:00 PM","","Feed"
"","Cooperative Farmers Elevator Rock Valley","1989115","9/1/2025 12:00 PM","","Feed"
"","Corn LP","2711283","","","Other"
"","Cornerstone Ag Solutions, LLC","1989161","","","Feed"
"","Cornerstone Organic Feeds, LLC","2957576","10/18/2025 12:00 PM","","Feed"
"","Cottom And Sons","2188251","","","Feed"
"","Couleeview Farms","2940182","","","Feed"
"","Country Partners Coop Bartlett","2966888","4/2/2026 12:00 PM","","Agronomy-Liquid"
"","Country Partners Coop North Loup","2928871","4/19/2026 12:00 PM","","Agronomy-Liquid"
"","Country Ribbon Inc. ","1989168","","","Feed"
"","Country Visions Cooperative","2971686","","","Grain"
"","Countryside Feed LLC","1989159","","","Feed"
"","County Line Livestock LLC","1989164","8/23/2025 12:00 PM","","Feed"
"","Cox Brothers Farms","2211241","5/15/2026 12:00 PM","","Feed"
"","CP Feeds","2041968","","","Feed"
"","Creighton Brothers LLC","2965752","","","Feed"
"","Crescent Feed","2839617","","","Feed"
"","Crystal Valley Coop Corporate","2951163","","","Feed"
"","Crystal Valley Jackson CLOSED","1989169","","","Feed"
"","Crystal Valley Janesville - CLOSED","1989172","","","Feed"
"","Crystal Valley La Salle - CLOSED","1989171","","","Feed"
"","Crystal Valley Trimont","2662465","","","Feed"
"","Crystal Valley Vernon Center","1989170","7/18/2025 12:00 PM","","Feed"
"","CTS Liquid Feed","2754278","12/15/2025 12:00 PM","","Feed"
"","Dail Farms Inc. ","1989180","8/12/2025 12:00 PM","","Feed"
"","Dakota Blenders","2971393","","","Feed"
"Dakotaland Feeds, L.L.C. is a feed manufacturer and distributor based in Huron, South Dakota. They strive to find the most efficient ways to distribute its products in the areas served by its local corporate parents.","Dakotaland Feeds","1989181","2/15/2026 12:00 PM","www.dakotalandfeeds.com","Feed"
"","Dan Carlisle","1989077","","","Feed"
"","DaveCo Farms","1989184","","","Feed"
"","Davies Imperial","2891514","","","Feed"
"","Daybreak Foods Corporate","2951169","","","Feed"
"","Daybreak Foods Estherville","1989185","2/16/2026 12:00 PM","","Feed"
"","Daybreak Foods Graettinger","1989186","2/16/2026 12:00 PM","","Feed"
"","Daybreak Foods Grant Park","1989410","12/13/2025 12:00 PM","","Feed"
"","Daybreak Foods Lake Mills","2054434","","","Feed"
"","De Groot","2354897","","","Feed"
"","DeBruyn Farms","1989209","2/20/2027 12:00 PM","","Feed"
"","Deerfield Colony","1989210","1/1/2026 12:00 PM","","Feed"
"","Delta Colony","1989215","","","Feed"
"","Dennis Magnussen","2581977","","","Feed"
"","Devenish Nutrition Corporate LLC","2026822","","","Feed"
"","Devenish Nutrition Hermosillo Sonora Mexico","2359740","","","Feed"
"","Devenish Nutrition LLC Gentry","2026823","","","Feed"
"","Devenish Nutrition LLC Thompson","2026824","","","Feed"
"","Devils River Whiskey","2209385","","","Brewery"
"","DeYoung Hog Farm","1989217","7/3/2025 12:00 PM","","Feed"
"","DFS Oskaloosa","2942737","","","Feed"
"","Diamond Z Farms - CLOSED","1989223","","","Feed"
"","Dircks Farms - MILL IS CLOSED","1989226","","","Feed"
"","Disagro Ecuador","2756942","","","Agronomy-Dry"
"","Disagro Honduras","2151972","","","Agronomy-Dry"
"","Disagro Panama","2151970","","","Agronomy-Dry"
"","Dixie Chemical","2675017","","","Agronomy-Dry"
"","DME Process Systems ","2204666","","","Feed"
"","Doon Elevator Corporate","2955772","","","Feed"
"","Doon Elevator Feed Mill 1","1989228","2/1/2026 12:00 PM","","Feed"
"","Doon Elevator Feed Mill 2","2178730","2/1/2026 12:00 PM","","Feed"
"","Double I Farms","2010348","","","Feed"
"","Double L Farms","2010349","2/1/2026 12:00 PM","","Feed"
"","Doug Studer Farms **MILL IS SHUT DOWN**","1989229","","","Feed"
"","Douglas Farms","1989230","","","Feed"
"","Douglas Feed Mill","1989231","7/11/2025 12:00 PM","","Feed"
"","Dultmeier","2841142","","","Agronomy-Liquid"
"","Dunkerton Cooperative","1989232","8/15/2025 12:00 PM","","Feed"
"","Durango Brewery","1989196","","","Brewery"
"","Duro Bag / Novolex","2954746","","","Feed"
"","Dutch Country Organics Middlebury","2920139","9/12/2025 12:00 PM","","Feed"
"","Dutch Country Organics Wolcottville","1994175","9/12/2025 12:00 PM","","Feed"
"","Dutt And Wagner of NC","2941982","","","Feed"
"","Dwight's Farm Service North Mill (DFS)","1989219","","","Feed"
"","Eagle Builders","2154830","12/1/2025 12:00 PM","","Other"
"","Eagle Creek Farms","2350909","","","Feed"
"","Early Bird Feed Mill","1989237","10/25/2025 12:00 PM","","Feed"
"","East End Colony Chicken Mill","1989239","12/1/2025 12:00 PM","","Feed"
"","East End Colony Corporate","2955773","","","Feed"
"","East End Colony Hog Mill","1989240","3/1/2026 12:00 PM","","Feed"
"","East Nashville Beer Works","2816845","","","Brewery"
"","East Raymond Colony ","1989245","8/3/2025 12:00 PM","","Feed"
"","Eastland Feed And Grain","1989247","8/23/2025 12:00 PM","","Feed"
"","Easy Automation Inc. ","2472663","","",""
"","Eatonia Colony","2008259","12/1/2025 12:00 PM","","Feed"
"","Ebenfeld Colony","2920145","2/15/2026 12:00 PM","","Feed"
"","EcoMaterial Technologies","2975702","","","Other"
"","Economy Feed Mill","2324786","1/13/2026 12:00 PM","","Feed"
"","Egg Innovations","1989248","10/26/2025 12:00 PM","","Feed"
"Feed Manager","Eichelberger Milling","1989249","8/25/2025 12:00 PM","","Feed"
"","Eichner Hog Farm","1989250","","","Feed"
"","Elbow Lake Coop Grain","2981328","","","Agronomy-Dry"
"","Element, LLC (ICM)","2041969","","","Feed"
"","Elite Feed Source Ltd","2010345","1/15/2026 12:00 PM","","Feed"
"","Elite Stock Farms","2010294","","","Feed"
"","Elk Creek Colony","1989252","3/8/2026 12:00 PM","","Feed"
"","Elmendorf Colony","1989251","","","Feed"
"","EM Heard And Son","1989233","1/30/2026 12:00 PM","","Feed"
"","Emerald Spring Dairy","2251266","1/20/2026 12:00 PM","","Feed"
"","EPL Feed, LLC","2957217","","","Feed"
"","Ernest Smith Farms","1989238","","","Feed"
