Company Name,Customer ID,Address Description,City,Country,Line 1,Line 2,Line 3,State,Zip
"AMVC Corporate","2948759","Shipping","Audubon","USA","508 Market Street","","","IA","50025"
"AMVC Hamlin Feedmill LLC ","2786303","Shipping","Hamlin","USA","2287 Lark Ave","","","IA","50637"
"Andy Shull","1989586","Shipping And Billing","Hidalgo","USA","21635 N 1050th St","","","IL","62432"
"Animix","2958948","","","","","","","",""
"Anuvia","2218391","Shipping","Zellwood","USA","6751 West Jones Ave","","","FL","32798"
"APEX Nutri Solutions Inc.","2008310","Shipping And Billing","Edberg","Canada","Box 173","","","AB","T0B 1J0"
"Applewood Farms LLC - CLOSED","1986529","Shipping And Billing","Virginia","USA","5793 Route 78 North","","","IL","62691"
"Art Benda","1986532","Shipping And Billing","Alpha","USA","59093 850th Street","","","MN","56111"
"Aspenheim Colony","2008313","Shipping And Billing","Bagot","Canada","Box 70","","","MB","R0H 0E0"
"Associated Feeds","2937692","Shipping","Turlock","USA","5213 W Main Street","","","CA","95380"
"Atlanta Ag","2982574","Shipping And Billing","Atlanta","USA","2305 2050th Ave","","","IL","61723"
"Audubon Manning Veterinary Clinics Crawfordsville (AMVC)","1986527","Billing","Audobon","USA","1885 Highway 71","","","IA","50025"
"Audubon Manning Veterinary Clinics Crawfordsville (AMVC)","1986527","Shipping ","Crawfordsville","USA","94 North 600 East","","","IN","47933"
"Audubon Manning Veterinary Clinics Wyoming (AMVC)","1986528","Shipping","Guernsey","USA","12 Antelope Rd ","PO Box 880","","WY","82214"
"Audubon Manning Veterinary Clinics Wyoming (AMVC)","1986528","Billing","Audubon","USA","1885 Highway 71","","","IA","50025"
"Austin Mac Inc","2829699","Shipping And Billing","Seattle","USA","2739 6th Ave S","","","WA","98134"
"AWSW Solutions","2897803","Shipping","Bear","USA","400 Carson Drive","","","DE","19701"
"B And B Farm Store","1986615","Billing","Jesup","USA","PO Box 546","","","IA","50648"
"B And B Farm Store","1986615","Shipping","Jesup","USA","1134 220th Street","","","IA","50648"
"Back Forty Brewing Company","2895102","Shipping","Huntsville ","USA","200 N 6th Street","","","AL","35801"
"Back Forty Feed","1986616","Shipping And Billing","Morris","USA","30098 US Hwy 59 S","","","MN","56267"
"Bad Dad Brewery","2222988","Shipping","Fairmont","USA","407 W  Washington Street, Ste C","","","IN","46928"
"Badger Hatchery","2665520","Shipping","Howards Grove","USA","1412 S Wisconsin Drive","","","WI","53083"
"Badger State Brewing","2045024","Shipping","Green Bay","USA","990 Tony Canadeo Run","","","WI","54304"
"Baker Colony","1986619","Shipping And Billing","Foremost","Canada","Box 452","","","AB","T0K-0X0"
"Bald Birds Brewing","2543494","Shipping","Audubon","USA","970 Rittenhouse Road #400","","","PA","19403"
"Barentz NA","2942446","Shipping","Rosemount","USA","13095 Courthouse Blvd","","","MN","55068"
"Bartlett Cooperative","2174066","Shipping","Bartlett","USA","401 Main Street","PO Box 4675","","KS","67332"
"Baseline Pork / DaCosta","1986620","Shipping And Billing","LaSalette","Canada","812305 Baseline Rd","","","ON","NOE-1HO"
"Batson River Brewing","2751131","Shipping","Wells","USA","73 Mile St","","","ME","04090"
"Baxter Brewing","2211697","Shipping And Billing","Lewiston","USA","130 Mill Street","","","ME","04240"
"BC Hops","2206984","Shipping","Abbotsford","Canada","1905 Cole Road","","","BC ","V3G 1T3"
"Becker Farms","2010333","Shipping And Billing","Park Rapids","USA","14730 139th Avenue","","","MN","56470"
"Bedford Farm Bureau Cooperative","1986637","Shipping","Martinsburg","USA","1629 Curryville Road","","","PA","16662"
"Bedford Farm Bureau Cooperative","1986637","Bill to","Bedford","USA","102 Industral Avenue","","","PA","15522"
"Belgrade Grain","1986638","Shipping And Billing","Belgrade","USA","224 Martin Ave","","","MN","56312"
"Bellingham Farmers Elevator","2969188","Shipping And Billing","Bellingham","USA","300 Railroad Street","","","MN","56212"
"Belstra Milling","1986647","Shipping And Billing","DeMotte","USA","424 15th Street SE","","","IN","46310"
"Benjamin Riensche Farming Co.","2351015","Site Address","Jesup","USA","11000-11998 Poyner Rd","","","IA","50648"
"Benjamin Riensche Farming Co.","2351015","Shipping And Billing","Jessup","USA","11607 Rickard Road","","","IA","50648"
"Bentdale Farms","1988999","Shipping And Billing","Truman","USA","2315 210th Avenue","","","MN","56088"
"Berg Pork LTD","1989000","Shipping","Harper","USA","23261 300th Avenue","","","IA","52231"
"Berg Pork LTD","1989000","Billing","Keota","USA","108 N Jefferson Street","","","IA","52248"
"Beusekom Farms LTD","1989001","Shipping And Billing","Fort Macleod","Canada","PO Box 1629","","","AB","T0L-0C4"
"Bickett Farms","2010334","Shipping And Billing","Central City","USA","10391 State Route 175 N","","","KY","42330"
"Biddle Farms","1989003","Shipping And Billing","Joy","USA","1216 State Hwy 17","","","IL","61260"
"Big Escambia Spirits","2727353","Shipping","Atmore","USA","1185 Goat Feathers Lane","","","AL","36502"
"Big Gain Research Farm","1989012","Shipping And Billing","Mankato","USA","416 Mathews","Box 308","","MN","56002"
"Big Rose Colony","1989013","Shipping And Billing","Shelby","USA","25 Big Rose Colony Lane","","","MT","59474"
"Big Stone Colony Minnesota","2093088","Shipping And Billing","Graceville","USA","75217 Big Stone Colony Road West","","","MN","56240"
"Big Stone Colony Montana New Mill - ISO Wean","2250764","Shipping And Billing","Sand Coulee","USA","Route 1, Box 70","","","MT","59472"
"Big Stone Colony Montana Old Mill","2008241","Shipping And Billing","Sand Coulee","USA","Route 1 Box 70","","","MT","59472"
"Big Valley Milling","1989015","Shipping And Billing","Montevideo ","USA","4090 73rd Ave SW","","","MN","56265"
"Birdsall Grain and Seed","2961648","Shipping And Billing","Berthold","USA","","","","ND",""
"Black Frost Distillery","2675776","Shipping","New Ulm","USA","201 1st Street North","","","MN","56073"
"Bles Wold Dairy","2158974","Shipping And Billing","Lacombe","Canada","RR #5","","","AB","T4L 2N5"
"Blue Diamond","2378976","Billing","Miami","USA","7752 NW, 74 Avenue","","","FL","33166"
"Blue Diamond","2378976","Shipping","Turlock","USA","1300 N Washington Road","","","CA","95380"
"Blue Ridge Aquaculture Inc. ","1989020","Shipping","Ridgeway","USA","555 Industrial Park Drive","","","VA","24148"
"Blue Ridge Aquaculture Inc. ","1989020","Billing","Martinsville","USA","PO Box 1152","","","VA","24112"
"Blue Sky Dairy","2962256","Shipping","Lewis ","USA","1989 O Road","","","KS","67552"
"Bluegrass Colony","1989019","Shipping","Warner","Canada","Box 99 South of 27 Township Range 16 SW","","","AB","T0K-2L0"
"Bluegrass Colony","1989019","Billing","Red Deer","Canada","Penner Farm Services","102-6660 Taylor Drive","","AB","T4P-1Y3"
"Bluff Country Feed And Seed","2754410","Shipping And Billing","Mondovi","USA","158 Martin Street","","","WI","54755"
"Boerboom Ag Resources LLC","1989031","Shipping And Billing","Marshall","USA","3173 State Hwy 19","","","MN","56258"
"Bon Homme Colony Elie MB","2847188","Billing","Elie","Canada","PO Box 10","","","MB","R0H 0H0"
"Bon Homme Colony Tabor SD","1989033","Shipping And Billing","Tabor","USA","31230 Colony Road","Box 59","","SD","57063"
"Bone Creek Colony","2793206","Shipping","Gull Lake","Canada","Box 60","","","SK","S0N 1A0"
"Borderland Colony","2968516","Shipping","Hilda","Canada","Box 117","","","AB","T0J 1R0"
"Bormann Farms","1989034","Shipping And Billing","Bode","USA","1106 90th Ave","","","IA","50519"
"Bourdeau Brothers","2891511","Shipping And Billing","Sheldon","USA","25 Severance Road","","","VT","05483"
"Bourdon Feed And Grain Inc. ","1989035","Shipping And Billing","Maxville","Canada","18408 Concession 15","","","ON","K0C-1T0"
"Bowman And Landes Turkeys Inc. ","1989254","Shipping And Billing ","New Carlisle","USA","6490 East Ross Road","","New Carlisle","OH","45344"
"Brando Holsteins","2323850","Shipping","Lacombe","Canada","RR 2","","","AB","T4L 2N2"
"Braswell Family Farms","2897801","Shipping And Billing","Nashville","USA","104 East Cross Street","","","NC","27856"
"Brazinski Pork, Inc.","2540613","Shipping","Coulterville","USA","3640 Honeysuckle Road","","","IL","62237"
"Brenelm Farms Ltd","2008255","Shipping And Billing","Tavistock","Canada","9646903 Maplewood Road","","","ON","N0B 2R0"
"Brenneman Pork ","1989036","Shipping And Billing","Washington","USA","2012 155th St","","","IA","52353"
"Brew Theory","2026820","Shipping","Orlando","USA","400 Pittman St","","","FL","32801"
"Brey's Egg Farm","1989037","Shipping And Billing","Jeffersonville","USA","607 Swiss Hill Rd","","","NY","12748"
"Bridgewater Dairy","2938015","Shipping","Montpelier","USA","14894 County Rd 8-50","","","OH","43543"
"Brightstone Colony","1989038","Shipping And Billing","Lac du Bonnet","Canada","Box 880","","","MB","R0E-1A0"
"Brinkman Pork Farm","2005472","Shipping And Billing","Hoyleton","USA","18172 Pine Road","","","IL","62803"
"Broad Valley Colony","1989044","Shipping And Billing ","Arborg","Canada","SE 2-23-1W","","","MB","ROC 0A0"
"Brock Stock Farm LTD","1989045","Shipping And Billing","Saskatoon","Canada","101-1132 College Drive","","","SK","S7N 0W2"
"Brodersen Farms","2976876","Shipping And Billing","Randolph","USA","55465 862 Road","","","NE","68771"
"Broekfarms Inc.","2374944","Shipping And Billing","Aylmer","Canada","11583 Springer Hill Road","","","ON","N5H 2R3"
"Brookfield Pork","1989166","Shipping And Billing","Renville","USA","21494 105th St SW","","","MN","56284"
"Brown Farms ","2925487","Shipping & Billing","Graettinger","USA","2810 480th Ave","","","IA","51342"
"BSC Animal Nutrition","1989046","Shipping And Billing","Saint Marys","Canada","1917 James St S RR #4","","","ON","N4X 1C7"
"Buchheit Feed Mill","1989062","Shipping And Billing ","Perryville","USA","33 PCR 540","","","MO","63775"
"Buena Connection Brewing","2967063","Shipping","Buena","USA","112 Wheat Road","","","NJ","08310"
"Buffalo Bayou Brewing Company","2052116","Shipping","Houston ","USA","2101 Summer St","","","TX","77007"
"Buhls-Ridge View Farm Inc.","1989063","Shipping And Billing","Tyler","USA","2830 110th Street","","","MN","56178"
"Burkey Farms - MILL CLOSED","1989064","Shipping And Billing","Dorchester","USA","3408 Rokeby Road","","","NE","68343"
"Burkholder Farms","2123385","Shipping","Ephrata","USA","1440 Division Hwy","","","PA","17522"
"Bush Farms Inc. ","1989065","Shipping And Billing","Rockfield","USA","4534 Browning Road","","","KY","42274"
"C And R Pork Farms Inc. ","1989066","Shipping And Billing","Iowa City","USA","4575 500th Street SE","","","IA","52240"
"Cabka","2892139","Shipping And Billing","Hazelwood","USA","123 Byassee Drive","","","MO","63042"
"Cadelga Guatemala","2572446","Shipping","","","unknown","","","",""
"Cadelga Guatemala","2572446","Shipping","Rio Hondo","","KM 126.5 Carretera Al","Atlantico, Aldea Santa Cruz","","Zacapa",""
"Cal Maine Foods Bethune","2379330","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Bethune","2379330","Shipping","Bethune","USA","102 Walton Street","","","SC","29009"
"Cal Maine Foods Boling  ","2957454","Billing","Campo","USA","CSE, Inc","24383 US 59","","TX","77437"
"Cal Maine Foods Boling  ","2957454","Shipping","Boling-Lago","USA","4429 FM442","","","TX","77420"
"Cal Maine Foods Bremen","2522433","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Bremen","2522433","Shipping","Bremen","USA","11500 State Rt. 181 N","","","KY","42325"
"Cal Maine Foods Bushnell","2522422","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Bushnell","2522422","Shipping","Bushnell","USA","7095 US 301 S","","","FL","33513"
"Cal Maine Foods Chase","2890282","Billing","Ridgeland","USA","1052 Highland Colony Parkway, Ste 200","","","KS","39157"
"Cal Maine Foods Chase","2890282","Shipping","Chase","USA","1100 6th Road","","","KS","67524"
"Cal Maine Foods Chillicothe","2747592","Shipping","Chillicothe","USA","21080 County Road 87 N","","","TX","79225"
"Cal Maine Foods Clarksville","2522428","Shipping","Clarksville","USA","550 Port Royal Road","","","TN","37040"
"Cal Maine Foods Clarksville","2522428","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Corporate","2252338","Corporate","Ridgeland","USA","1052 Highland Colony Parkway","","","MS","39157"
"Cal Maine Foods Delta","2252442","Shipping","Lynndyl","USA","250 W 700 South","","","UT","84640"
"Cal Maine Foods Delta","2252442","Billing","Ridgeland","USA","1052 Highland Colony Pkwy","","","MS","39157"
"Cal Maine Foods Dexter","2959254","Shipping","Dexter","USA","12845 Co. Road 717","","","MO","63841"
"Cal Maine Foods Dexter","2959254","Billing","Ridgeland","USA","1052 Highland Colony Parkway, #200","","","MS","39157"
"Cal Maine Foods Edwards","2645748","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Edwards","2645748","Shipping","Edwards","USA","17521 Old Highway 80 West","","","MS","39066"
"Cal Maine Foods Farwell","2841059","Shipping","Farwell","USA","410 FM 33333","","","TX","79325"
"Cal Maine Foods Farwell","2841059","Billing","Ridgeland","USA","1052 Highland Colony Parkway Ste 200","","","MS","39157"
"Cal Maine Foods Flatonia","2793213","Shipping","Flatonia","USA","112 W Sixth Street","","","TX","78941"
"Cal Maine Foods Flatonia","2793213","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39203"
"Cal Maine Foods Green Forest","2354895","Billing","Jackson","USA","3320 Woodrow Wilson Dr","","","MS","39209"
"Cal Maine Foods Green Forest","2354895","Shipping","Green Forest","USA","12066 Highway 62 E","","","AR","72638"
"Cal Maine Foods Newberry ","2968400","Shipping","Newberry","United States","2063 Alexander Street","","","SC","29108"
"Cal Maine Foods Patterson","2878046","Billing","Ridgeland","USA","1052 Highland Colony Parkway, Suite 200","","","MS","39157"
"Cal Maine Foods Patterson","2878046","Shipping","Patterson","USA","6733 US Highway 84","","","GA","31557"
"Cal Maine Foods Red River ","2839551","Shipping","Bogata","USA","1400 Josef Hausler ","N Memorial Way","","TX","75417"
"Cal Maine Foods Searcy","2252339","Billing","Jackson","USA","3320 Woodrow Wilson Drive","","","MS","39209"
"Cal Maine Foods Searcy","2252339","Shipping","Searcy","USA","500 S Oak St","","","AR","72143"
"Cal Maine Foods Shady Dale","2794483","Billing","Ridgeland","USA","1052 Highland Colony Parkway #200","","","MS","39157"
"Cal Maine Foods Shady Dale","2794483","Shipping","Shady Dale","USA","3510 Eatonton Highway","","","GA","31085"
"Cal Maine Foods Statesville","2975459","Shipping","Statesville","USA","109 Anna Drive","","","NC","28625"
"Cal Maine Foods Union City","2354896","Shipping","Union City ","USA","1039 Zumbrum Road","","","OH","45390"
"Cal Maine Foods Union City","2354896","Billing","Jackson ","USA","3320 Woodrow Wilson Drive","","","MS","39203"
"Cal Maine Foods Watts ","2847189","Billing","Ridgeland","USA","1052 Highland Colony Parkway #200","","","MS","39157"
"Cal Maine Foods Watts ","2847189","Shipping","Watts","USA","63265 South 4750 Road","","","OK","74964"
"Caledonia Farmers Elevator","1989070","Shipping","Caledonia","USA","240 S Maple","","","MN","49316"
"Caledonia Farmers Elevator","1989070","Billing","Caledonia","USA","115 Kinsey Ave","","","MI","49316"
"Camrose Colony Montana","1989073","Shipping And Billing","Ledger","USA","Box 18","","","MT","59456"
"Camrose Colony South Dakota","2883254","Shipping And Billing","Frankfort","USA","16950 400th Ave","","","SD","57440"
"Canby Farmers Grain Company Canby","1989074","Billing","Canby","USA","PO Box 153","","","MN","56220"
"Canby Farmers Grain Company Canby","1989074","Shipping ","Canby","USA","201 West 1st Street","","","MN","56220"
"Canby Farmers Grain Company Dawson","2973491","","","","","","","",""
"Canmark Farms Inc. ***Broekfarms bought this mill***","1989075","Shipping","Denfield","Canada","Route 4","","","ON","N0M 1P0"
"Canmark Farms Inc. ***Broekfarms bought this mill***","1989075","Billing","Hickson","Canada","McQuipment Ltd. General Delivery","596210 Hwy 59","","ON","N0L 1L0"
"Cardinal Ethanol","2785734","Shipping","Union City","USA","1554 N 600 E","","","IN","47390"
"Cargill Animal Nutrition","2978633","Shipping And Billing","Big Lake ","USA","100 County Road 43","","","MN","55309"
"Carroll Brewing Company","1989079","Shipping And Billing","Carroll","USA","227 E 5th St","","","IA","51401"
"Carroll Farms","1989078","Shipping And Billing","Carthage","USA","1277 North County Rd. 16","","","IL","62321"
"Carstens And Sons Farm Grain","2751044","Shipping And Billing","Linden","USA","11819 Linden Road","","","IA","50146"
"Carstens Livestock Feed Mill Bagley","1989080","Shipping And Billing","Bagley","USA","1229 Pecan Ave","","","IA","50026"
"Carstens Livestock Feed Mill Corporate","2948760","Billing","Bagley","USA","1229 Pecan Ave","","","IA","50026"
"Carstens Livestock Feed Mill Linden","1989081","Billing","Bagley","USA","1229 Pecan Avenue","","","IA","50026"
"Carstens Livestock Feed Mill Linden","1989081","Shipping","Linden","USA","1199 Linden Road","","","IA","50146"
"Cascade Colony","2328062","Shipping And Billing","Sun River","USA","508 Birdtail Creek Road","","","MT","59483"
"Case Farms","2834559","Shipping","Olin","USA","678 Williamsburg Road","","","NC","28660"
"Case Farms","2834559","Billing","Troutman","USA","385 Pilch Road","","","NC","28166"
"Casella Waste Systems","2379830","Billing","Dodge City","USA","2205 E Wyatt Earp","","","KS","67801"
"Casella Waste Systems","2379830","Shipping","Unity","USA","73 Reynolds Road","","","ME","04988"
"Cashton Farm Supply Specialties Corporate","2948761","Billing","Cashton","USA","300 State Hwy 27","","","WI","54619"
"Cashton Farm Supply Specialties New Mill (CFS)","1989068","Shipping And Billing","Cashton","USA","300 State Hwy 27","","","WI","54619"
"Cashton Farm Supply Specialties Old Mill (CFS)","1989069","Shipping And Billing","Cashton","USA","300 State Hwy 27","","","WI","54619"
"Castle Island Brewing Company","1989082","Shipping And Billing","Norwood","USA","31 Astor Ave","","","MA","02062"
"Cavendish Agri Services","2472873","Shipping","Summerside","Canada","Travellers Rest Warehouse","848 Read Dr","","PEI","E1N 4J8"
"CBL Farms","1989083","Shipping And Billing","Winthrop","USA","2866 Troy Mills Blvd","","","IA","50682"
