,Tablet,,,Computer-Licensing,TRUE,,
,Camera System-Integrated (EAI provided),,,Device,TRUE,,
,Red Lion DLL,,,Device,TRUE,,
,Scale Head,,,Device,TRUE,,
,VFD (Variable Frequency Drive) or Soft Start,,,Device,TRUE,,
,Zebra Printer,,,Device,TRUE,,
,Hand Scanner,,,Device,TRUE,,
,Flow Meter,,,Device,TRUE,,
,Proximity Sensors,,,Device,TRUE,,
,Dual Float ,,,Device,TRUE,,
,Traffic Light,,,Device,TRUE,,
,Dultmeier Components,,,Device,TRUE,,
,Feed Office Pro,,,Software,TRUE,,
,FOPro Auto Accounting Interface,,,Software,TRUE,,
,FOPro Base Program,,,Software,TRUE,,
,FOPro Contract Pricing,,,Software,TRUE,,
,FOPro Exporter Version,,,Software,TRUE,,
,FOPro EZWII,,,Software,TRUE,,
,FOPro Farm Bin Levels,,,Software,TRUE,,
,FOPro Grain Bank,,,Software,TRUE,,
,FOPro Journal Import,,,Software,TRUE,,
,FOPro Legacy Software,,,Software,TRUE,,
,FOPro Limited Customer,,,Software,TRUE,,
,FOPro Link To Non-EAI Batcher,,,Software,TRUE,,
,FOPro Lot Tracking,,,Software,TRUE,,
,FOPro Manual Accounting Interface,,,Software,TRUE,,
,FOPro Multi-Customer,,,Software,TRUE,,
,FOPro Order Compression,,,Software,TRUE,,
,FOPro Preorder,,,Software,TRUE,,
,FOPro Preorder Export,,,Software,TRUE,,
,FOPro Preorder Import,,,Software,TRUE,,
,FOPro Production Interface,,,Software,TRUE,,
,FOPro Report Viewer Version,,,Software,TRUE,,
,FOPro Reports,,,Software,TRUE,,
,FOPro Split Owner ,,,Software,TRUE,,
,FOPro Spreadsheet Pricing,,,Software,TRUE,,
,FOPro Tags,,,Software,TRUE,,
,FOPro Vertical Interface,,,Software,TRUE,,
,MOTH,,,Software,TRUE,,
,Ordsync,,,Software,TRUE,,
,Feed Batch Pro,,,Software,TRUE,,
,External Production Interface (EPI) ,,,Software,TRUE,,
,EZ Feed Interface,,,Software,TRUE,,
,Loadout Pro,,,Software,TRUE,,
,Receiving Pro,,,Software,TRUE,,
,Pellet Pro,,,Software,TRUE,,
,Feed Order Pro,,,Software,TRUE,,
,Feed Order Basic,,,Software,TRUE,,
,Toll Mill Pro,,,Software,TRUE,,
,NexGen Office,,,Software,TRUE,,
,NexGen Office Advanced Pricing,,,Software,TRUE,,
,NexGen Office AgTrax Integration,,,Software,TRUE,,
,NexGen Office Base Program,,,Software,TRUE,,
,NexGen Office Contracts,,,Software,TRUE,,
,NexGen Office Custom Reports,,,Software,TRUE,,
,NexGen Office Farm Bin Levels,,,Software,TRUE,,
,NexGen Office Feed Tags,,,Software,TRUE,,
,NexGen Office Grain Bank,,,Software,TRUE,,
,NexGen Office Ingredient Lot Tracking,,,Software,TRUE,,
,NexGen Office Integrated Accounting,,,Software,TRUE,,
,NexGen Office Link to Batcher,,,Software,TRUE,,
,NexGen Office Loadout Module,,,Software,TRUE,,
,NexGen Office Manual Accounting,,,Software,TRUE,,
,NexGen Office Multi-Level Pricing,,,Software,TRUE,,
,NexGen Office Phone App,,,Software,TRUE,,
,NexGen Office PO Module,,,Software,TRUE,,
,NexGen Office Pre-Order,,,Software,TRUE,,
,NexGen Office Receiving,,,Software,TRUE,,
,NexGen Office Soft Client,,,Software,TRUE,,
,NexGen Office Split Ownership,,,Software,TRUE,,
,NexGen Office VFD Module,,,Software,TRUE,,
,Kiosk Web App,,,Software,TRUE,,
,CHiToE,,,Software,TRUE,,
,NexGen Liquid Controller,,,Software,TRUE,,
,NexGen Controller,,,Software,TRUE,,
,Loadout Module (NexGen Batching Software),,,Software,TRUE,,
,Loadout NexGen Whiteboard (No Scale),,,Software,TRUE,,
,Loadout NexGen Whiteboard/Compartmentalized (No Scale),,,Software,TRUE,,
,Loadout NexGen Whiteboard/Compartmentalized LO with Lorry/Shuttle Conveyor Scale Interface (Hybrid Loadout),,,Software,TRUE,,
,Loadout NexGen Whiteboard/Compartmentalized with Scale (Manual),,,Software,TRUE,,
,Loadout NexGen Whiteboard/Compartmentalized with Truck Scale Interface (Fully Automated),,,Software,TRUE,,
,MILC Interface,,,Software,TRUE,,
